PassengerId,Survived,Pclass,SibSp,Parch,Fare,Survived2,Sex,Deck,Seat,MV_Deck,Embarked,Age2,Age3,MV_Age,Age_Category,Title,Age2_1digito,Family_Size,Age_Inf,Age2_Outlier_ZS,Age3_Outlier_ZS,Age_Inf_Outlier_ZS,Fare_Outlier_ZS,Age2_Outlier_IQR,Age3_Outlier_IQR,Age_Inf_Outlier_IQR,Fare_Outlier_IQR
23,1.0,3,0,0,8.0,Survived,female,M,6,1,Q,15.0,15.0,0,Teenager,3,2,1,15.0,15.0,15.0,15.0,8.0,15.0,15.0,15.0,8.0
24,1.0,1,0,0,36.0,Survived,male,A,6,0,S,28.0,28.0,0,Adult,1,3,1,28.0,28.0,28.0,28.0,36.0,28.0,28.0,28.0,36.0
25,0.0,3,3,1,21.0,Died,female,M,6,1,S,8.0,8.0,0,Child,3,1,5,8.0,8.0,8.0,8.0,21.0,8.0,8.0,8.0,21.0
26,1.0,3,1,5,31.0,Survived,female,M,6,1,S,38.0,38.0,0,Middle_Aged,4,4,7,38.0,38.0,38.0,38.0,31.0,38.0,38.0,38.0,31.0
27,0.0,3,0,0,7.0,Died,male,M,6,1,C,28.0,28.0,1,Adult,1,3,1,26.0,28.0,28.0,26.0,7.0,28.0,28.0,26.0,7.0
28,0.0,1,3,2,263.0,Died,male,C,23,0,S,19.0,19.0,0,Teenager,1,2,6,19.0,19.0,19.0,19.0,165.0,19.0,19.0,19.0,65.0
29,1.0,3,0,0,8.0,Survived,female,M,6,1,Q,28.0,27.0,1,Adult,3,3,1,23.0,28.0,27.0,23.0,8.0,28.0,27.0,23.0,8.0
30,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
31,0.0,1,0,0,28.0,Died,male,M,6,1,C,40.0,40.0,0,Middle_Aged,5,4,1,40.0,40.0,40.0,40.0,28.0,40.0,40.0,40.0,28.0
32,1.0,1,1,0,147.0,Survived,female,B,78,0,C,28.0,27.0,1,Adult,4,3,2,36.0,28.0,27.0,36.0,147.0,28.0,27.0,36.0,65.0
33,1.0,3,0,0,8.0,Survived,female,M,6,1,Q,28.0,27.0,1,Adult,3,3,1,23.0,28.0,27.0,23.0,8.0,28.0,27.0,23.0,8.0
34,0.0,2,0,0,10.0,Died,male,M,6,1,S,66.0,66.0,0,Old,1,7,1,66.0,66.0,66.0,66.0,10.0,54.0,54.0,59.0,10.0
35,0.0,1,1,0,82.0,Died,male,M,6,1,C,28.0,28.0,0,Adult,1,3,2,28.0,28.0,28.0,28.0,82.0,28.0,28.0,28.0,65.0
36,0.0,1,1,0,52.0,Died,male,M,6,1,S,42.0,42.0,0,Middle_Aged,1,4,2,42.0,42.0,42.0,42.0,52.0,42.0,42.0,42.0,52.0
37,1.0,3,0,0,7.0,Survived,male,M,6,1,C,28.0,28.0,1,Adult,1,3,1,26.0,28.0,28.0,26.0,7.0,28.0,28.0,26.0,7.0
38,0.0,3,0,0,8.0,Died,male,M,6,1,S,21.0,21.0,0,Adult,1,2,1,21.0,21.0,21.0,21.0,8.0,21.0,21.0,21.0,8.0
39,0.0,3,2,0,18.0,Died,female,M,6,1,S,18.0,18.0,0,Teenager,3,2,3,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
40,1.0,3,1,0,11.0,Survived,female,M,6,1,C,14.0,14.0,0,Teenager,3,1,2,14.0,14.0,14.0,14.0,11.0,14.0,14.0,14.0,11.0
41,0.0,3,1,0,9.0,Died,female,M,6,1,S,40.0,40.0,0,Middle_Aged,4,4,2,40.0,40.0,40.0,40.0,9.0,40.0,40.0,40.0,9.0
42,0.0,2,1,0,21.0,Died,female,M,6,1,S,27.0,27.0,0,Adult,4,3,2,27.0,27.0,27.0,27.0,21.0,27.0,27.0,27.0,21.0
43,0.0,3,0,0,8.0,Died,male,M,6,1,C,28.0,28.0,1,Adult,1,3,1,26.0,28.0,28.0,26.0,8.0,28.0,28.0,26.0,8.0
44,1.0,2,1,2,42.0,Survived,female,M,6,1,C,3.0,3.0,0,Toddler,3,0,4,3.0,3.0,3.0,3.0,42.0,3.0,3.0,3.0,42.0
45,1.0,3,0,0,8.0,Survived,female,M,6,1,Q,19.0,19.0,0,Teenager,3,2,1,19.0,19.0,19.0,19.0,8.0,19.0,19.0,19.0,8.0
46,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
47,0.0,3,1,0,16.0,Died,male,M,6,1,Q,28.0,28.0,1,Adult,1,3,2,35.0,28.0,28.0,35.0,16.0,28.0,28.0,35.0,16.0
48,1.0,3,0,0,8.0,Survived,female,M,6,1,Q,28.0,27.0,1,Adult,3,3,1,23.0,28.0,27.0,23.0,8.0,28.0,27.0,23.0,8.0
49,0.0,3,2,0,22.0,Died,male,M,6,1,C,28.0,28.0,1,Adult,1,3,3,15.0,28.0,28.0,15.0,22.0,28.0,28.0,15.0,22.0
50,0.0,3,1,0,18.0,Died,female,M,6,1,S,18.0,18.0,0,Teenager,4,2,2,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
51,0.0,3,4,1,40.0,Died,male,M,6,1,S,7.0,7.0,0,Child,2,1,6,7.0,7.0,7.0,7.0,40.0,7.0,7.0,7.0,40.0
52,0.0,3,0,0,8.0,Died,male,M,6,1,S,21.0,21.0,0,Adult,1,2,1,21.0,21.0,21.0,21.0,8.0,21.0,21.0,21.0,8.0
53,1.0,1,1,0,77.0,Survived,female,D,33,0,C,49.0,49.0,0,Middle_Aged,4,5,2,49.0,49.0,49.0,49.0,77.0,49.0,49.0,49.0,65.0
54,1.0,2,1,0,26.0,Survived,female,M,6,1,S,29.0,29.0,0,Adult,4,3,2,29.0,29.0,29.0,29.0,26.0,29.0,29.0,29.0,26.0
55,0.0,1,0,1,62.0,Died,male,B,30,0,C,65.0,65.0,0,Old,1,6,2,65.0,65.0,65.0,65.0,62.0,54.0,54.0,59.0,62.0
56,1.0,1,0,0,36.0,Survived,male,C,52,0,S,28.0,28.0,1,Adult,1,3,1,47.0,28.0,28.0,47.0,36.0,28.0,28.0,47.0,36.0
57,1.0,2,0,0,10.0,Survived,female,M,6,1,S,21.0,21.0,0,Adult,3,2,1,21.0,21.0,21.0,21.0,10.0,21.0,21.0,21.0,10.0
58,0.0,3,0,0,7.0,Died,male,M,6,1,C,28.0,28.0,0,Adult,1,3,1,28.0,28.0,28.0,28.0,7.0,28.0,28.0,28.0,7.0
59,1.0,2,1,2,28.0,Survived,female,M,6,1,S,5.0,5.0,0,Child,3,0,4,5.0,5.0,5.0,5.0,28.0,5.0,5.0,5.0,28.0
60,0.0,3,5,2,47.0,Died,male,M,6,1,S,11.0,11.0,0,Child,2,1,8,11.0,11.0,11.0,11.0,47.0,11.0,11.0,11.0,47.0
61,0.0,3,0,0,7.0,Died,male,M,6,1,C,22.0,22.0,0,Adult,1,2,1,22.0,22.0,22.0,22.0,7.0,22.0,22.0,22.0,7.0
62,1.0,1,0,0,80.0,Survived,female,B,28,0,S,38.0,38.0,0,Middle_Aged,3,4,1,38.0,38.0,38.0,38.0,80.0,38.0,38.0,38.0,65.0
63,0.0,1,1,0,83.0,Died,male,C,83,0,S,45.0,45.0,0,Middle_Aged,1,4,2,45.0,45.0,45.0,45.0,83.0,45.0,45.0,45.0,65.0
64,0.0,3,3,2,28.0,Died,male,M,6,1,S,4.0,4.0,0,Toddler,2,0,6,4.0,4.0,4.0,4.0,28.0,4.0,4.0,4.0,28.0
65,0.0,1,0,0,28.0,Died,male,M,6,1,C,28.0,28.0,1,Adult,1,3,1,43.0,28.0,28.0,43.0,28.0,28.0,28.0,43.0,28.0
66,1.0,3,1,1,15.0,Survived,male,M,6,1,C,28.0,28.0,1,Adult,2,3,3,4.0,28.0,28.0,4.0,15.0,28.0,28.0,4.0,15.0
67,1.0,2,0,0,10.0,Survived,female,F,33,0,S,29.0,29.0,0,Adult,4,3,1,29.0,29.0,29.0,29.0,10.0,29.0,29.0,29.0,10.0
68,0.0,3,0,0,8.0,Died,male,M,6,1,S,19.0,19.0,0,Teenager,1,2,1,19.0,19.0,19.0,19.0,8.0,19.0,19.0,19.0,8.0
69,1.0,3,4,2,8.0,Survived,female,M,6,1,S,17.0,17.0,0,Teenager,3,2,7,17.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,8.0
70,0.0,3,2,0,9.0,Died,male,M,6,1,S,26.0,26.0,0,Adult,1,3,3,26.0,26.0,26.0,26.0,9.0,26.0,26.0,26.0,9.0
71,0.0,2,0,0,10.0,Died,male,M,6,1,S,32.0,32.0,0,Middle_Aged,1,3,1,32.0,32.0,32.0,32.0,10.0,32.0,32.0,32.0,10.0
72,0.0,3,5,2,47.0,Died,female,M,6,1,S,16.0,16.0,0,Teenager,3,2,8,16.0,16.0,16.0,16.0,47.0,16.0,16.0,16.0,47.0
73,0.0,2,0,0,74.0,Died,male,M,6,1,S,21.0,21.0,0,Adult,1,2,1,21.0,21.0,21.0,21.0,74.0,21.0,21.0,21.0,65.0
74,0.0,3,1,0,14.0,Died,male,M,6,1,C,26.0,26.0,0,Adult,1,3,2,26.0,26.0,26.0,26.0,14.0,26.0,26.0,26.0,14.0
75,1.0,3,0,0,56.0,Survived,male,M,6,1,S,32.0,32.0,0,Middle_Aged,1,3,1,32.0,32.0,32.0,32.0,56.0,32.0,32.0,32.0,56.0
76,0.0,3,0,0,8.0,Died,male,F,6,0,S,25.0,25.0,0,Adult,1,2,1,25.0,25.0,25.0,25.0,8.0,25.0,25.0,25.0,8.0
77,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
78,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
79,1.0,2,0,2,29.0,Survived,male,M,6,1,S,1.0,1.0,0,Baby,2,0,3,1.0,1.0,1.0,1.0,29.0,3.0,3.0,1.0,29.0
80,1.0,3,0,0,12.0,Survived,female,M,6,1,S,30.0,30.0,0,Adult,3,3,1,30.0,30.0,30.0,30.0,12.0,30.0,30.0,30.0,12.0
81,0.0,3,0,0,9.0,Died,male,M,6,1,S,22.0,22.0,0,Adult,1,2,1,22.0,22.0,22.0,22.0,9.0,22.0,22.0,22.0,9.0
82,1.0,3,0,0,10.0,Survived,male,M,6,1,S,29.0,29.0,0,Adult,1,3,1,29.0,29.0,29.0,29.0,10.0,29.0,29.0,29.0,10.0
83,1.0,3,0,0,8.0,Survived,female,M,6,1,Q,28.0,27.0,1,Adult,3,3,1,23.0,28.0,27.0,23.0,8.0,28.0,27.0,23.0,8.0
84,0.0,1,0,0,47.0,Died,male,M,6,1,S,28.0,28.0,0,Adult,1,3,1,28.0,28.0,28.0,28.0,47.0,28.0,28.0,28.0,47.0
85,1.0,2,0,0,10.0,Survived,female,M,6,1,S,17.0,17.0,0,Teenager,3,2,1,17.0,17.0,17.0,17.0,10.0,17.0,17.0,17.0,10.0
86,1.0,3,3,0,16.0,Survived,female,M,6,1,S,33.0,33.0,0,Middle_Aged,4,3,4,33.0,33.0,33.0,33.0,16.0,33.0,33.0,33.0,16.0
87,0.0,3,1,3,34.0,Died,male,M,6,1,S,16.0,16.0,0,Teenager,1,2,5,16.0,16.0,16.0,16.0,34.0,16.0,16.0,16.0,34.0
88,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
89,1.0,1,3,2,263.0,Survived,female,C,23,0,S,23.0,23.0,0,Adult,3,2,6,23.0,23.0,23.0,23.0,165.0,23.0,23.0,23.0,65.0
90,0.0,3,0,0,8.0,Died,male,M,6,1,S,24.0,24.0,0,Adult,1,2,1,24.0,24.0,24.0,24.0,8.0,24.0,24.0,24.0,8.0
91,0.0,3,0,0,8.0,Died,male,M,6,1,S,29.0,29.0,0,Adult,1,3,1,29.0,29.0,29.0,29.0,8.0,29.0,29.0,29.0,8.0
92,0.0,3,0,0,8.0,Died,male,M,6,1,S,20.0,20.0,0,Adult,1,2,1,20.0,20.0,20.0,20.0,8.0,20.0,20.0,20.0,8.0
93,0.0,1,1,0,61.0,Died,male,E,31,0,S,46.0,46.0,0,Middle_Aged,1,5,2,46.0,46.0,46.0,46.0,61.0,46.0,46.0,46.0,61.0
94,0.0,3,1,2,21.0,Died,male,M,6,1,S,26.0,26.0,0,Adult,1,3,4,26.0,26.0,26.0,26.0,21.0,26.0,26.0,26.0,21.0
95,0.0,3,0,0,7.0,Died,male,M,6,1,S,59.0,59.0,0,Senior_Citizen,1,6,1,59.0,59.0,59.0,59.0,7.0,54.0,54.0,59.0,7.0
96,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
97,0.0,1,0,0,35.0,Died,male,A,5,0,C,71.0,71.0,0,Old,1,7,1,71.0,67.0,67.0,70.0,35.0,54.0,54.0,59.0,35.0
98,1.0,1,0,1,63.0,Survived,male,D,10,0,C,23.0,23.0,0,Adult,1,2,2,23.0,23.0,23.0,23.0,63.0,23.0,23.0,23.0,63.0
99,1.0,2,0,1,23.0,Survived,female,M,6,1,S,34.0,34.0,0,Middle_Aged,4,3,2,34.0,34.0,34.0,34.0,23.0,34.0,34.0,34.0,23.0
100,0.0,2,1,0,26.0,Died,male,M,6,1,S,34.0,34.0,0,Middle_Aged,1,3,2,34.0,34.0,34.0,34.0,26.0,34.0,34.0,34.0,26.0
101,0.0,3,0,0,8.0,Died,female,M,6,1,S,28.0,28.0,0,Adult,3,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
102,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
103,0.0,1,0,1,77.0,Died,male,D,26,0,S,21.0,21.0,0,Adult,1,2,2,21.0,21.0,21.0,21.0,77.0,21.0,21.0,21.0,65.0
104,0.0,3,0,0,9.0,Died,male,M,6,1,S,33.0,33.0,0,Middle_Aged,1,3,1,33.0,33.0,33.0,33.0,9.0,33.0,33.0,33.0,9.0
105,0.0,3,2,0,8.0,Died,male,M,6,1,S,37.0,37.0,0,Middle_Aged,1,4,3,37.0,37.0,37.0,37.0,8.0,37.0,37.0,37.0,8.0
106,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,0,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
107,1.0,3,0,0,8.0,Survived,female,M,6,1,S,21.0,21.0,0,Adult,3,2,1,21.0,21.0,21.0,21.0,8.0,21.0,21.0,21.0,8.0
108,1.0,3,0,0,8.0,Survived,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
109,0.0,3,0,0,8.0,Died,male,M,6,1,S,38.0,38.0,0,Middle_Aged,1,4,1,38.0,38.0,38.0,38.0,8.0,38.0,38.0,38.0,8.0
110,1.0,3,1,0,24.0,Survived,female,M,6,1,Q,28.0,27.0,1,Adult,3,3,2,24.0,28.0,27.0,24.0,24.0,28.0,27.0,24.0,24.0
111,0.0,1,0,0,52.0,Died,male,C,110,0,S,47.0,47.0,0,Middle_Aged,1,5,1,47.0,47.0,47.0,47.0,52.0,47.0,47.0,47.0,52.0
112,0.0,3,1,0,14.0,Died,female,M,6,1,C,14.0,14.0,0,Teenager,3,1,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
113,0.0,3,0,0,8.0,Died,male,M,6,1,S,22.0,22.0,0,Adult,1,2,1,22.0,22.0,22.0,22.0,8.0,22.0,22.0,22.0,8.0
114,0.0,3,1,0,10.0,Died,female,M,6,1,S,20.0,20.0,0,Adult,3,2,2,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0
115,0.0,3,0,0,14.0,Died,female,M,6,1,C,17.0,17.0,0,Teenager,3,2,1,17.0,17.0,17.0,17.0,14.0,17.0,17.0,17.0,14.0
116,0.0,3,0,0,8.0,Died,male,M,6,1,S,21.0,21.0,0,Adult,1,2,1,21.0,21.0,21.0,21.0,8.0,21.0,21.0,21.0,8.0
117,0.0,3,0,0,8.0,Died,male,M,6,1,Q,70.0,70.0,0,Old,1,7,1,70.0,67.0,67.0,70.0,8.0,54.0,54.0,59.0,8.0
118,0.0,2,1,0,21.0,Died,male,M,6,1,S,29.0,29.0,0,Adult,1,3,2,29.0,29.0,29.0,29.0,21.0,29.0,29.0,29.0,21.0
119,0.0,1,0,1,248.0,Died,male,B,58,0,C,24.0,24.0,0,Adult,1,2,2,24.0,24.0,24.0,24.0,165.0,24.0,24.0,24.0,65.0
120,0.0,3,4,2,31.0,Died,female,M,6,1,S,2.0,2.0,0,Toddler,3,0,7,2.0,2.0,2.0,2.0,31.0,3.0,3.0,2.0,31.0
121,0.0,2,2,0,74.0,Died,male,M,6,1,S,21.0,21.0,0,Adult,1,2,3,21.0,21.0,21.0,21.0,74.0,21.0,21.0,21.0,65.0
122,0.0,3,0,0,8.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,8.0,28.0,28.0,28.0,8.0
123,0.0,2,1,0,30.0,Died,male,M,6,1,C,32.0,32.0,0,Middle_Aged,1,3,2,32.0,32.0,32.0,32.0,30.0,32.0,32.0,32.0,30.0
124,1.0,2,0,0,13.0,Survived,female,E,101,0,S,32.0,32.0,0,Middle_Aged,3,3,1,32.0,32.0,32.0,32.0,13.0,32.0,32.0,32.0,13.0
125,0.0,1,0,1,77.0,Died,male,D,26,0,S,54.0,54.0,0,Senior_Citizen,1,5,2,54.0,54.0,54.0,54.0,77.0,54.0,54.0,54.0,65.0
126,1.0,3,1,0,11.0,Survived,male,M,6,1,C,12.0,12.0,0,Child,2,1,2,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0
127,0.0,3,0,0,8.0,Died,male,M,6,1,Q,28.0,28.0,1,Adult,1,3,1,33.0,28.0,28.0,33.0,8.0,28.0,28.0,33.0,8.0
128,1.0,3,0,0,7.0,Survived,male,M,6,1,S,24.0,24.0,0,Adult,1,2,1,24.0,24.0,24.0,24.0,7.0,24.0,24.0,24.0,7.0
129,1.0,3,1,1,22.0,Survived,female,F,6,0,C,28.0,27.0,1,Adult,3,3,3,4.0,28.0,27.0,4.0,22.0,28.0,27.0,4.0,22.0
130,0.0,3,0,0,7.0,Died,male,M,6,1,S,45.0,45.0,0,Middle_Aged,1,4,1,45.0,45.0,45.0,45.0,7.0,45.0,45.0,45.0,7.0
131,0.0,3,0,0,8.0,Died,male,M,6,1,C,33.0,33.0,0,Middle_Aged,1,3,1,33.0,33.0,33.0,33.0,8.0,33.0,33.0,33.0,8.0
132,0.0,3,0,0,7.0,Died,male,M,6,1,S,20.0,20.0,0,Adult,1,2,1,20.0,20.0,20.0,20.0,7.0,20.0,20.0,20.0,7.0
133,0.0,3,1,0,14.0,Died,female,M,6,1,S,47.0,47.0,0,Middle_Aged,4,5,2,47.0,47.0,47.0,47.0,14.0,47.0,47.0,47.0,14.0
134,1.0,2,1,0,26.0,Survived,female,M,6,1,S,29.0,29.0,0,Adult,4,3,2,29.0,29.0,29.0,29.0,26.0,29.0,29.0,29.0,26.0
135,0.0,2,0,0,13.0,Died,male,M,6,1,S,25.0,25.0,0,Adult,1,2,1,25.0,25.0,25.0,25.0,13.0,25.0,25.0,25.0,13.0
136,0.0,2,0,0,15.0,Died,male,M,6,1,C,23.0,23.0,0,Adult,1,2,1,23.0,23.0,23.0,23.0,15.0,23.0,23.0,23.0,15.0
137,1.0,1,0,2,26.0,Survived,female,D,47,0,S,19.0,19.0,0,Teenager,3,2,3,19.0,19.0,19.0,19.0,26.0,19.0,19.0,19.0,26.0
138,0.0,1,1,0,53.0,Died,male,C,123,0,S,37.0,37.0,0,Middle_Aged,1,4,2,37.0,37.0,37.0,37.0,53.0,37.0,37.0,37.0,53.0
139,0.0,3,0,0,9.0,Died,male,M,6,1,S,16.0,16.0,0,Teenager,1,2,1,16.0,16.0,16.0,16.0,9.0,16.0,16.0,16.0,9.0
140,0.0,1,0,0,79.0,Died,male,B,86,0,C,24.0,24.0,0,Adult,1,2,1,24.0,24.0,24.0,24.0,79.0,24.0,24.0,24.0,65.0
141,0.0,3,0,2,15.0,Died,female,M,6,1,C,28.0,27.0,1,Adult,4,3,3,32.0,28.0,27.0,32.0,15.0,28.0,27.0,32.0,15.0
142,1.0,3,0,0,8.0,Survived,female,M,6,1,S,22.0,22.0,0,Adult,3,2,1,22.0,22.0,22.0,22.0,8.0,22.0,22.0,22.0,8.0
143,1.0,3,1,0,16.0,Survived,female,M,6,1,S,24.0,24.0,0,Adult,4,2,2,24.0,24.0,24.0,24.0,16.0,24.0,24.0,24.0,16.0
144,0.0,3,0,0,7.0,Died,male,M,6,1,Q,19.0,19.0,0,Teenager,1,2,1,19.0,19.0,19.0,19.0,7.0,19.0,19.0,19.0,7.0
145,0.0,2,0,0,12.0,Died,male,M,6,1,S,18.0,18.0,0,Teenager,1,2,1,18.0,18.0,18.0,18.0,12.0,18.0,18.0,18.0,12.0
146,0.0,2,1,1,37.0,Died,male,M,6,1,S,19.0,19.0,0,Teenager,1,2,3,19.0,19.0,19.0,19.0,37.0,19.0,19.0,19.0,37.0
147,1.0,3,0,0,8.0,Survived,male,M,6,1,S,27.0,27.0,0,Adult,1,3,1,27.0,27.0,27.0,27.0,8.0,27.0,27.0,27.0,8.0
148,0.0,3,2,2,34.0,Died,female,M,6,1,S,9.0,9.0,0,Child,3,1,5,9.0,9.0,9.0,9.0,34.0,9.0,9.0,9.0,34.0
149,0.0,2,0,2,26.0,Died,male,F,2,0,S,36.0,36.0,0,Middle_Aged,1,4,3,36.0,36.0,36.0,36.0,26.0,36.0,36.0,36.0,26.0
150,0.0,2,0,0,13.0,Died,male,M,6,1,S,42.0,42.0,0,Middle_Aged,6,4,1,42.0,42.0,42.0,42.0,13.0,42.0,42.0,42.0,13.0
151,0.0,2,0,0,13.0,Died,male,M,6,1,S,51.0,51.0,0,Senior_Citizen,6,5,1,51.0,51.0,51.0,51.0,13.0,51.0,51.0,51.0,13.0
152,1.0,1,1,0,67.0,Survived,female,C,2,0,S,22.0,22.0,0,Adult,4,2,2,22.0,22.0,22.0,22.0,67.0,22.0,22.0,22.0,65.0
153,0.0,3,0,0,8.0,Died,male,M,6,1,S,56.0,56.0,0,Senior_Citizen,1,6,1,56.0,56.0,56.0,56.0,8.0,54.0,54.0,56.0,8.0
154,0.0,3,0,2,14.0,Died,male,M,6,1,S,40.0,40.0,0,Middle_Aged,1,4,3,40.0,40.0,40.0,40.0,14.0,40.0,40.0,40.0,14.0
155,0.0,3,0,0,7.0,Died,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,28.0,28.0,28.0,28.0,7.0,28.0,28.0,28.0,7.0
156,0.0,1,0,1,61.0,Died,male,M,6,1,C,51.0,51.0,0,Senior_Citizen,1,5,2,51.0,51.0,51.0,51.0,61.0,51.0,51.0,51.0,61.0
