"IDpol","ClaimAmount"
5087364,2819.47
5087364,1204
5098968,1204
1015488,564
5095583,89.7
5093572,1320
5097635,2408
1015037,1128
5090947,1204
5094652,2911.8
5098055,1204
5092318,1204
5089935,2408
5091997,2641.54
5091997,1204
5094987,2408
1013725,1648.9
5091596,2408
5089503,2123.18
1013725,1128
5089901,1204
5097022,2408
5087976,1204
5095798,1204
5087500,2408
5095663,25840
5095180,1204
5087223,805.47
5090575,1204
5091041,1204
5089006,2408
5099862,541.52
5089008,602
5101083,1204
5100089,1204
5095921,2659.56
5099611,655.36
5099611,602
5095276,165.04
1014639,18043.06
5095276,602
5099678,967.53
1014639,4725.92
5098412,1204
2375,631.36
5088351,235.88
5097274,4717.66
5097179,556.14
5097179,1204
5088156,2524
5097187,128.79
5087352,1204
1014187,1128.12
5069576,1320
1012830,556.14
5094121,1204
5088080,602
5090318,2408
5100709,2524
5095989,1204
5097066,6862
5097066,1204
1012917,1754.29
5094047,1204
5089253,1204
5103919,660
5089980,2524
5088507,17.94
1016091,564
5090361,13323
5090471,2524
5104817,1300.28
5103111,2524
5089253,1320
5090453,1207.84
5089971,2408
5104107,1204
5094460,947.52
5105123,602
5101694,1506.48
5092620,602
5102049,602
5095945,1204
5087299,2408
5096696,2408
5090187,1204
5102125,2524
5097066,2179.8
5093881,7000
5093881,1320
5095046,2408
5105016,2408
5090476,2408
5095343,1204
5089817,1204
5092043,2524
5099740,1204
5093390,2408
5088665,753.74
5088665,2213.01
5088904,661.14
5088156,7000
5088156,412.07
1013409,1432.29
5089924,1320
5088655,602
5104188,1204
5105372,958.47
5105372,556.14
5087565,1204
5103445,602
5098547,1204
5096135,2408
5107058,7000
5090575,2408
5105907,602
5094218,2524
5095750,1320
1013034,1128
5089864,5801
5093459,3622.15
5106646,191
5096508,660
5097152,53.9
5092986,2524
5104320,2524
5087466,556.14
5087466,1204
5105351,2524
5093771,1204
5091055,2524
5103064,1204
5087051,1204
5103057,556.14
5103057,1204
5089293,2524
5095009,1204
5098483,1250
5088374,2524
5069474,1204
5101749,35.44
5103185,2524
1006833,987.06
5092590,2524
5103882,143.63
5102162,1204
5089988,2408
5100753,207.35
5100753,2524
5093532,2524
5097697,802.4
1014389,1128
5069731,1204
5097307,1320
5107071,1204
5102552,2408
5103175,847.6
5104510,1204
5091111,1320
5101211,900
5101211,1204
5087991,1204
5087602,2408
5105958,3080
5107609,1204
5103849,2524
5089176,1320
5090724,1204
5099880,1320
1005968,1128
5107621,2524
5088041,2524
5092007,56.8
1011831,1144.89
5090262,1320
5101881,1320
5106608,1204
5098483,2524
5094039,462.66
5091766,7000
5095387,1204
5089519,1204
1011663,3835
5086910,1204
5101090,602
5108646,981.52
5095859,1204
1015777,564
5090870,1320
5091041,309.02
1000736,1128
5096580,700
5101690,198.97
5105891,3162.15
5099051,1204
1011661,3265.21
5102427,820
1011661,419.97
5098879,2524
5106236,1204
5102904,1320
5100345,898.78
5095060,906.46
5091432,1204
5097150,1204
5092341,493.22
5105616,1320
5099654,4432.2
5099654,1000
5106964,362
5039728,1204
5021613,1204
1012990,2427.63
5098408,1204
5063537,1204
6020797,1204
5017415,1320
6047858,4107.27
6017966,1320
6061331,1204
6044696,1204
6066674,1320
6055211,1320
1004815,1128
6017766,8166
6017766,693.84
6014478,1320
6017289,1320
6041503,556.14
6020290,1320
1005389,2678.99
6050131,1320
6051929,1204
6027095,602
6057954,8202.86
6049243,1204
6010292,2608.3
6010292,1320
6080396,1320
6002075,1320
6078073,1320
1010240,1128
6042867,1320
6016578,1204
6051337,602
6083346,602
6053312,1204
1015702,1128
6075671,862.65
6006293,602
6065359,1320
6012999,82.05
1005935,1128
6025849,1204
1004051,1128
6038779,1867.22
6086080,1204
6055796,660
6054466,1204
6010551,1204
6017201,1320
6071391,15852
6071391,1320
6077605,4885
1009392,3572.86
6006882,7000
