ID,overall,potential,value,wage,nationality,position,age,preferred_foot
181872,85,85,26000000,205000,Chile,CAM,31,Right
181458,85,85,37500000,110000,Croatia,LM,29,Right
180930,85,85,30500000,115000,Bosnia Herzegovina,ST,32,Right
179846,85,85,33000000,160000,Germany,RCM,31,Right
179844,85,85,38500000,100000,Spain,LS,29,Right
178518,85,85,35500000,105000,Belgium,CAM,30,Right
171919,85,85,9000000,38000,Brazil,CB,35,Right
170890,85,85,26000000,145000,France,LM,31,Left
168609,85,85,15500000,96000,Brazil,CB,33,Right
165153,85,85,37000000,240000,France,ST,30,Right
164169,85,85,21500000,81000,Brazil,LB,32,Left
139720,85,85,22000000,170000,Belgium,CB,32,Right
120533,85,85,9000000,57000,Portugal,RCB,35,Right
41236,85,85,14000000,15000,Sweden,RS,36,Right
220793,84,88,34000000,105000,Colombia,RCB,22,Right
216460,84,88,34000000,63000,Uruguay,RCB,23,Right
212462,84,87,32000000,22000,Brazil,LB,25,Left
212218,84,88,34000000,135000,France,LCB,24,Left
212198,84,88,40500000,22000,Portugal,LCM,23,Right
212190,84,90,36500000,84000,Germany,CB,22,Right
211300,84,90,42500000,165000,France,LW,22,Right
211117,84,90,42500000,115000,England,LCM,22,Right
209499,84,88,34000000,120000,Brazil,CDM,24,Right
207865,84,89,35500000,90000,Brazil,LDM,24,Right
207566,84,86,31500000,38000,Portugal,CDM,26,Right
205498,84,87,38000000,155000,Italy,CM,26,Right
204970,84,87,39000000,72000,France,RM,25,Left
204963,84,87,31500000,185000,Spain,RB,26,Right
202556,84,89,42000000,93000,Netherlands,ST,24,Right
200104,84,85,37000000,125000,Korea Republic,LM,25,Right
199482,84,86,25000000,72000,Portugal,GK,27,Left
198176,84,86,31500000,88000,Netherlands,CB,26,Right
198009,84,89,29500000,105000,Italy,GK,25,Right
193082,84,84,29500000,150000,Colombia,RAM,30,Right
192629,84,84,30000000,45000,Spain,ST,30,Left
192563,84,87,27000000,115000,Germany,GK,26,Right
191202,84,84,24000000,165000,Serbia,CDM,29,Left
190941,84,84,22000000,74000,Finland,GK,28,Right
190584,84,84,31000000,51000,Spain,RDM,28,Right
188377,84,84,24500000,165000,England,RB,28,Right
186942,84,84,32000000,175000,Germany,CM,27,Right
185020,84,84,27500000,105000,Spain,RM,31,Right
183898,84,84,29500000,125000,Argentina,RM,30,Left
181783,84,84,25000000,160000,Croatia,ST,32,Right
180403,84,84,30500000,175000,Brazil,RW,29,Right
178750,84,85,24000000,42000,Spain,GK,29,Right
178562,84,84,29000000,31000,Argentina,CDM,30,Right
177413,84,84,24000000,77000,Belgium,LCM,29,Right
177388,84,84,27500000,75000,France,CAM,31,Right
176769,84,84,16500000,25000,Brazil,ST,34,Right
172879,84,84,23000000,140000,Greece,RCB,30,Right
167628,84,84,19000000,41000,France,GK,31,Right
167397,84,84,25000000,115000,Colombia,RS,32,Right
163587,84,84,19000000,78000,Denmark,GK,31,Right
157481,84,84,18000000,88000,Spain,RCB,32,Right
143076,84,84,30000000,53000,Argentina,LS,30,Right
137186,84,84,4200000,95000,Italy,CB,37,Right
20775,84,84,15500000,80000,Portugal,RM,34,Right
9014,84,84,15500000,110000,Netherlands,RM,34,Left
231443,83,92,40000000,155000,France,RW,21,Left
230666,83,92,41000000,130000,Brazil,ST,21,Right
230481,83,83,28000000,51000,Brazil,RW,26,Right
230375,83,83,22500000,43000,Brazil,LCB,26,Right
230294,83,83,28500000,60000,Brazil,ST,26,Right
225850,83,89,30500000,82000,France,LCB,22,Left
220971,83,88,34000000,120000,Guinea,CM,23,Right
219683,83,88,34000000,85000,France,CM,23,Right
213565,83,89,35500000,64000,France,LM,22,Left
213345,83,87,34000000,85000,France,LM,22,Right
213331,83,88,29500000,67000,Germany,CB,22,Right
212523,83,90,36500000,18000,Brazil,CAM,24,Left
212188,83,87,34500000,70000,Germany,RW,22,Right
210008,83,87,33000000,91000,France,CM,23,Left
209658,83,88,34000000,85000,Germany,CM,23,Right
208808,83,84,30500000,28000,Netherlands,RM,26,Right
208670,83,86,32500000,28000,Morocco,RAM,25,Left
208618,83,83,27000000,205000,Spain,RW,27,Right
208418,83,86,33000000,20000,Belgium,LM,24,Right
208093,83,85,32000000,53000,Spain,LS,26,Left
207863,83,83,20000000,22000,Brazil,RCB,29,Right
207410,83,89,35000000,165000,Croatia,LCM,24,Right
206585,83,91,28500000,84000,Spain,GK,23,Right
206545,83,84,30000000,49000,Spain,RCM,26,Right
206113,83,88,34500000,85000,Germany,ST,22,Right
204935,83,88,25000000,78000,England,GK,24,Left
204639,83,86,26000000,67000,Montenegro,CB,27,Right
203574,83,87,28500000,125000,England,RCB,24,Right
202651,83,86,33000000,115000,Spain,RW,24,Left
202166,83,86,32500000,91000,Germany,CM,24,Right
201995,83,85,31500000,110000,Brazil,LM,25,Right
200949,83,84,31000000,115000,Brazil,RM,25,Right
200888,83,86,27000000,21000,Portugal,CDM,26,Right
200724,83,85,24500000,180000,Spain,CB,28,Right
200316,83,87,24000000,25000,Germany,GK,25,Left
199914,83,83,26500000,87000,Brazil,RCM,27,Right
199845,83,83,19000000,64000,Italy,CB,30,Left
199564,83,86,26500000,170000,Spain,RB,26,Right
198329,83,84,30500000,57000,Spain,ST,27,Left
197965,83,83,25500000,22000,Portugal,LCM,28,Right
195365,83,83,26500000,74000,Slovenia,LCM,27,Right
194404,83,84,21000000,41000,Brazil,GK,28,Right
193698,83,84,21000000,42000,Germany,GK,28,Right
193474,83,83,21000000,125000,Senegal,RDM,28,Right
192883,83,83,25500000,145000,Armenia,RM,29,Right
192638,83,84,24000000,130000,Spain,LB,27,Left
192593,83,83,13000000,70000,Croatia,GK,33,Right
190547,83,83,19000000,86000,Poland,RCB,30,Right
189712,83,83,21000000,66000,Netherlands,CDM,28,Left
189068,83,83,26000000,26000,Netherlands,ST,29,Right
188152,83,84,30500000,29000,Brazil,LCM,26,Right
186627,83,83,27500000,55000,Italy,LS,27,Right
185221,83,83,19000000,63000,Brazil,LCB,30,Left
184942,83,83,26000000,64000,Brazil,CAM,28,Right
179944,83,83,17500000,130000,Brazil,LCB,31,Right
179783,83,84,20000000,38000,Germany,GK,29,Right
178088,83,83,24500000,160000,Spain,RM,30,Left
178086,83,83,15500000,55000,Spain,GK,31,Left
178005,83,83,16500000,74000,Portugal,GK,30,Left
177683,83,84,20000000,35000,Switzerland,GK,29,Right
177610,83,83,20000000,94000,Spain,CDM,29,Right
177457,83,83,20000000,82000,Germany,RB,29,Right
176266,83,83,17500000,64000,Brazil,LDM,31,Right
163705,83,83,13000000,51000,France,GK,33,Right
162895,83,83,22000000,140000,Spain,CM,31,Right
162240,83,83,24000000,120000,Belgium,CM,30,Left
156616,83,83,11500000,72000,France,LM,35,Right
104389,83,83,13000000,33000,Norway,GK,33,Right
53302,83,83,8000000,80000,Italy,RDM,34,Right
24630,83,83,6000000,56000,Spain,GK,35,Right
236583,82,85,19500000,30000,Czech Republic,GK,26,Right
235243,82,91,27000000,11000,Netherlands,RCB,18,Right
231866,82,87,29000000,59000,Spain,CM,22,Right
230658,82,90,32500000,125000,Brazil,LCM,21,Right
230621,82,93,29000000,23000,Italy,GK,19,Right
230258,82,82,16500000,46000,Brazil,RCM,30,Right
230225,82,82,6500000,39000,Brazil,RCB,34,Right
230168,82,82,14000000,32000,Brazil,GK,30,Right
227055,82,87,29500000,59000,Portugal,RM,23,Right
224411,82,86,29000000,36000,Portugal,LM,21,Right
223959,82,87,25000000,98000,Uruguay,LCM,22,Right
222737,82,89,31500000,140000,Brazil,RW,21,Left
221087,82,87,21500000,21000,Spain,GK,23,Left
220814,82,88,25500000,53000,France,LB,22,Left
220440,82,88,26000000,135000,France,LCB,23,Left
216354,82,83,26000000,54000,Croatia,LCM,27,Right
216267,82,87,24500000,98000,Scotland,LB,24,Left
216194,82,83,20000000,33000,Spain,RCM,28,Right
212404,82,87,29500000,110000,Italy,RM,24,Left
212194,82,88,30500000,68000,Germany,LM,22,Right
211320,82,86,24500000,95000,Italy,CB,23,Right
210617,82,86,29000000,94000,Spain,RM,23,Left
210514,82,88,25500000,95000,Portugal,RB,24,Right
210413,82,89,26500000,84000,Italy,LCB,23,Left
209989,82,88,25500000,59000,Ghana,CDM,25,Right
209297,82,84,26500000,140000,Brazil,CM,25,Left
208830,82,82,20000000,96000,England,ST,31,Right
208596,82,87,30000000,58000,Italy,LS,24,Right
208448,82,83,26000000,67000,Sweden,LM,26,Right
207494,82,83,26500000,140000,England,CAM,25,Right
207471,82,82,21500000,27000,Argentina,LCM,29,Left
205678,82,82,22500000,40000,Bosnia Herzegovina,RM,28,Right
205452,82,84,22500000,110000,Germany,CB,25,Right
203551,82,83,20500000,73000,Italy,RB,27,Right
203263,82,85,23500000,77000,England,LCB,25,Right
202371,82,83,21000000,87000,Belgium,RM,26,Right
201956,82,82,18500000,41000,Senegal,CB,27,Right
201455,82,85,27500000,46000,Central African Rep.,CM,25,Left
201400,82,87,29500000,165000,Brazil,CAM,25,Left
201305,82,83,21000000,44000,Brazil,LCB,27,Right
201153,82,85,28500000,135000,Spain,ST,25,Right
199987,82,84,18000000,135000,Netherlands,GK,29,Right
199451,82,82,23500000,28000,France,RS,27,Right
198951,82,83,26000000,33000,DR Congo,ST,27,Right
198950,82,83,26000000,26000,Spain,RCM,26,Left
198717,82,85,28500000,78000,Ivory Coast,LS,25,Right
198706,82,85,28500000,67000,Spain,CF,25,Right
198164,82,82,22500000,31000,Spain,LF,28,Right
198141,82,83,21000000,32000,Spain,CB,27,Right
197655,82,83,21000000,19000,Uruguay,RCB,27,Right
195093,82,83,26500000,44000,Brazil,ST,26,Right
193525,82,82,18500000,1000,Russia,RB,27,Right
193469,82,83,19500000,43000,Spain,LCB,29,Left
193283,82,83,21500000,61000,Denmark,LCM,26,Left
192984,82,85,19500000,46000,Belgium,GK,26,Left
192318,82,85,27000000,67000,Germany,CM,26,Right
192227,82,84,22500000,115000,Germany,RCB,26,Right
191180,82,82,21500000,84000,Argentina,CAM,29,Right
189505,82,82,21000000,140000,Spain,RW,30,Right
189125,82,82,22000000,115000,Italy,CM,28,Right
189117,82,85,18500000,50000,Switzerland,GK,27,Right
188803,82,82,21000000,1000,Brazil,LM,30,Right
187936,82,82,17000000,77000,France,CDM,29,Right
187754,82,82,21000000,1000,Ukraine,RM,30,Left
186561,82,83,25000000,130000,Wales,CAM,27,Right
186345,82,82,18500000,99000,England,RB,27,Right
185103,82,82,12500000,73000,Serbia,LB,32,Left
184484,82,82,22500000,125000,Iceland,CAM,28,Right
184431,82,82,20000000,15000,Italy,CF,31,Right
184200,82,82,22000000,120000,Austria,LS,29,Right
184144,82,82,21000000,22000,Argentina,CAM,30,Left
183711,82,82,18000000,125000,England,RCM,28,Right
183574,82,82,21500000,45000,Germany,ST,30,Left
183498,82,82,9000000,59000,Italy,RDM,33,Right
183376,82,82,17000000,18000,Serbia,CDM,29,Right
183280,82,82,12500000,57000,France,RCB,32,Right
181786,82,82,12500000,1000,Croatia,LCB,32,Right
181291,82,82,23000000,130000,Netherlands,CAM,27,Right
179847,82,82,15000000,73000,Argentina,LCB,31,Right
178509,82,82,20000000,140000,France,ST,31,Left
173521,82,82,15000000,73000,Spain,CB,31,Left
171897,82,82,19000000,35000,Mexico,CM,31,Left
170481,82,82,15000000,44000,Argentina,RCB,31,Right
168530,82,82,12500000,17000,Brazil,LCB,32,Right
168435,82,82,13500000,45000,Italy,GK,31,Right
168354,82,82,12500000,15000,Italy,GK,32,Left
165229,82,82,12500000,115000,France,CB,32,Right
163489,82,82,13500000,52000,Italy,GK,31,Right
158963,82,82,12500000,98000,Argentina,CDM,32,Right
146530,82,82,4800000,62000,Brazil,RB,35,Right
113422,82,82,8000000,12000,Spain,ST,36,Right
106231,82,82,8000000,29000,Spain,ST,37,Right
48940,82,82,3000000,60000,Czech Republic,GK,36,Left
5479,82,82,1500000,10000,Spain,GK,37,Left
231677,81,89,27000000,110000,England,LW,20,Right
230271,81,81,17000000,40000,Brazil,CAM,30,Left
229906,81,89,26500000,54000,Jamaica,LM,20,Left
229237,81,87,21000000,49000,Switzerland,LCB,22,Right
228702,81,89,26000000,19000,Netherlands,LDM,21,Right
227928,81,86,20000000,125000,Portugal,RB,24,Right
226456,81,86,24000000,36000,Spain,CAM,22,Right
226271,81,89,26000000,64000,Spain,LM,22,Left
225508,81,87,21000000,105000,Ivory Coast,CB,24,Right
222509,81,88,25000000,120000,Spain,LCM,21,Right
221992,81,86,24000000,22000,Mexico,LS,22,Right
216475,81,81,17000000,33000,Spain,LS,30,Right
216451,81,82,20500000,73000,Ivory Coast,LDM,26,Right
216409,81,84,22500000,57000,Italy,RM,24,Left
216352,81,84,18500000,64000,Croatia,LDM,25,Right
216201,81,87,24500000,31000,Spain,LW,24,Right
214997,81,87,24500000,54000,Argentina,RM,23,Right
213661,81,88,21500000,91000,Denmark,LCB,22,Right
212814,81,84,22500000,71000,Portugal,CAM,25,Right
212151,81,86,17000000,36000,Albania,GK,23,Right
210864,81,86,20000000,58000,Albania,RB,24,Right
210406,81,88,24500000,64000,Poland,RCM,24,Right
210243,81,85,19000000,64000,Portugal,RB,24,Right
210035,81,87,20500000,14000,Spain,LB,22,Left
209889,81,86,24000000,54000,Portugal,LM,24,Left
208135,81,85,19500000,60000,France,RDM,25,Right
207877,81,84,22500000,14000,Venezuela,LS,25,Right
207664,81,81,16000000,45000,Colombia,LS,31,Right
206467,81,83,22000000,40000,France,LW,25,Right
205923,81,84,18500000,87000,Wales,LB,25,Left
205362,81,84,18500000,36000,Serbia,LCB,25,Left
205175,81,88,25500000,71000,Poland,CF,24,Left
204923,81,84,22500000,54000,Austria,LM,24,Right
204884,81,86,20000000,105000,France,LB,23,Left
204024,81,82,17000000,35000,Germany,CDM,27,Right
203890,81,84,18000000,57000,Croatia,RB,26,Right
203486,81,83,21500000,40000,Belgium,RW,25,Right
202857,81,81,18000000,76000,Germany,RM,28,Right
202685,81,82,21000000,48000,Italy,RS,27,Left
201454,81,82,16500000,68000,Algeria,LB,27,Left
200726,81,84,15000000,27000,France,GK,27,Left
200647,81,81,17000000,41000,Slovenia,CAM,30,Left
200610,81,83,22000000,76000,Germany,ST,25,Left
200454,81,85,23500000,59000,Spain,ST,24,Right
199715,81,81,18000000,65000,Spain,LM,28,Right
199503,81,84,22000000,115000,Switzerland,LDM,25,Left
199434,81,81,17500000,26000,Serbia,LAM,29,Left
199042,81,81,17000000,76000,Chile,LDM,29,Right
196889,81,81,19500000,77000,Italy,RW,25,Left
195086,81,82,16000000,115000,Croatia,RCB,28,Right
193532,81,81,13000000,56000,Chile,RCB,30,Right
193348,81,81,19000000,130000,Switzerland,CAM,26,Left
193165,81,83,21500000,18000,Mexico,RM,25,Right
193105,81,85,16500000,61000,France,GK,25,Right
192641,81,82,17500000,42000,Germany,CB,26,Right
191740,81,81,17500000,140000,Spain,CM,28,Right
190972,81,81,18500000,19000,Argentina,RW,27,Right
190813,81,82,21000000,77000,Italy,LM,25,Right
189881,81,82,16000000,130000,England,RCB,28,Right
189362,81,81,15500000,25000,Brazil,RCM,31,Left
189358,81,81,17500000,65000,Japan,CAM,29,Right
188988,81,85,23000000,90000,Argentina,CAM,25,Right
187491,81,81,18500000,1000,Russia,ST,28,Right
187072,81,81,18000000,43000,Germany,CF,29,Right
185239,81,82,16000000,59000,Turkey,CB,28,Right
183900,81,81,17500000,84000,Argentina,LW,29,Right
182494,81,81,10000000,52000,Uruguay,GK,32,Right
179784,81,81,13000000,1000,Germany,RCB,30,Right
179645,81,81,14000000,23000,Denmark,RCB,29,Right
177458,81,81,14000000,69000,Germany,LCB,29,Right
177326,81,81,11000000,86000,France,LM,33,Right
175379,81,81,15500000,32000,Spain,RM,31,Right
173909,81,81,15000000,65000,Ghana,CM,31,Right
173771,81,81,7000000,57000,Poland,RB,33,Right
173221,81,81,15500000,74000,Italy,RM,31,Right
172522,81,81,17000000,46000,Denmark,RB,29,Right
170368,81,82,21000000,105000,Argentina,RM,26,Left
169595,81,81,14500000,92000,England,LB,27,Left
169416,81,81,17500000,15000,Mexico,RW,29,Left
169195,81,81,16500000,28000,Brazil,LCM,30,Right
167905,81,81,10000000,120000,Ecuador,RM,32,Right
164835,81,81,9000000,70000,Poland,GK,33,Right
162347,81,81,15000000,85000,Portugal,RCM,31,Right
161956,81,81,11000000,74000,Spain,CAM,33,Right
159261,81,81,8000000,39000,Italy,RS,35,Right
159145,81,81,14000000,56000,France,ST,32,Right
157960,81,81,14000000,1000,Portugal,LM,32,Right
156519,81,81,17500000,20000,Mexico,CM,28,Right
144622,81,81,11000000,41000,Brazil,CF,33,Right
139068,81,81,15500000,19000,Portugal,LM,31,Right
138412,81,81,13500000,120000,England,CM,32,Right
112316,81,81,5500000,18000,France,LCB,34,Left
45186,81,81,6000000,24000,Spain,LS,36,Right
239207,80,85,20500000,25000,Uruguay,ST,21,Right
235790,80,89,22000000,32000,Germany,CAM,19,Left
235569,80,89,22500000,51000,France,CM,21,Right
234906,80,90,23500000,51000,France,LM,20,Right
234153,80,87,21000000,31000,Spain,RM,21,Right
234035,80,88,18500000,115000,Spain,RB,22,Right
230977,80,84,19500000,11000,Paraguay,CAM,24,Left
230347,80,80,10500000,34000,Brazil,LB,30,Left
230234,80,80,4500000,34000,Brazil,CDM,34,Right
230142,80,87,21000000,29000,Spain,CAM,21,Left
228229,80,83,15500000,80000,Paraguay,RCB,26,Right
227536,80,80,16000000,19000,Mali,RS,27,Right
226851,80,86,17500000,33000,France,RB,22,Right
226790,80,85,17000000,50000,Nigeria,LDM,21,Right
226753,80,85,14500000,14000,Cameroon,GK,22,Right
226226,80,86,20000000,72000,Argentina,RCM,22,Left
224334,80,80,12500000,16000,Argentina,LB,26,Left
224293,80,87,20500000,59000,Portugal,LCM,21,Right
221639,80,85,20000000,140000,Dominican Republic,ST,24,Right
221540,80,80,12000000,19000,Brazil,CB,28,Left
220477,80,86,17500000,73000,Italy,CB,24,Right
219985,80,81,14500000,63000,Uruguay,LM,26,Right
219809,80,85,17000000,85000,France,LCM,23,Right
218339,80,86,20000000,50000,Germany,CM,22,Right
216547,80,83,18500000,17000,Portugal,RW,25,Right
215785,80,85,20000000,65000,Senegal,RM,23,Right
215316,80,85,14000000,26000,Argentina,GK,26,Right
214584,80,80,9000000,22000,Argentina,GK,31,Right
212692,80,85,20000000,65000,Portugal,RM,22,Left
212623,80,85,20000000,40000,Spain,LS,22,Right
211748,80,84,19500000,37000,Germany,RCM,24,Left
211688,80,85,16500000,33000,Spain,LB,23,Left
211575,80,85,19500000,130000,Portugal,LDM,24,Right
211256,80,82,15000000,20000,Argentina,LB,25,Left
210896,80,85,19500000,47000,France,RDM,23,Right
209960,80,83,13000000,23000,Spain,GK,26,Left
208333,80,85,19500000,91000,Germany,CM,24,Right
208128,80,84,19500000,89000,Turkey,CAM,24,Right
207862,80,82,15500000,28000,Germany,RWB,24,Right
207599,80,83,15500000,88000,England,RCB,25,Right
207439,80,85,0,0,Argentina,CM,24,Right
206413,80,80,12000000,1000,Ukraine,RDM,28,Left
205988,80,85,16500000,96000,England,LB,22,Left
205705,80,80,12000000,29000,Morocco,CB,28,Left
205693,80,83,19000000,41000,France,RS,24,Right
205525,80,81,17500000,97000,Brazil,LM,25,Right
205114,80,80,14000000,30000,Japan,LM,30,Right
205070,80,81,17500000,37000,Spain,RM,26,Right
204529,80,84,19500000,105000,Belgium,ST,24,Right
204399,80,80,14500000,24000,Israel,LS,30,Right
204120,80,81,11500000,17000,Czech Republic,GK,29,Right
203841,80,83,13000000,48000,England,GK,26,Right
203747,80,85,16500000,85000,Spain,RB,23,Right
203605,80,81,14000000,39000,Czech Republic,RWB,26,Right
203042,80,85,14000000,39000,England,GK,25,Right
202849,80,81,14500000,51000,Denmark,CB,25,Right
202695,80,83,15500000,56000,England,RCB,25,Right
202477,80,82,18500000,56000,Spain,RS,24,Right
202335,80,84,16500000,73000,England,CDM,24,Right
201377,80,84,16000000,38000,Colombia,LCB,26,Right
201144,80,80,11500000,53000,Croatia,CDM,29,Right
201119,80,80,11500000,1000,Brazil,LB,28,Left
200536,80,81,14500000,37000,Germany,LWB,25,Left
200458,80,84,16000000,79000,France,LB,24,Left
200318,80,81,17500000,42000,Germany,ST,26,Left
200315,80,80,16000000,30000,Spain,LM,26,Right
199206,80,80,11500000,55000,Croatia,LCB,29,Right
199110,80,81,17500000,24000,Colombia,ST,27,Right
199069,80,82,18000000,19000,Cameroon,ST,26,Right
198784,80,85,19500000,94000,England,CM,24,Right
197853,80,83,15500000,82000,Ivory Coast,RB,25,Right
197061,80,82,15000000,99000,Cameroon,CB,26,Right
195861,80,80,12000000,1000,Ukraine,LCB,28,Left
194879,80,80,15500000,34000,Spain,RS,28,Right
194794,80,80,15000000,92000,Ukraine,RM,28,Left
194229,80,81,13500000,27000,Spain,RB,27,Right
194022,80,80,12000000,15000,Portugal,RB,27,Right
193886,80,80,15000000,44000,Germany,CAM,28,Left
193352,80,83,15500000,81000,Switzerland,LB,25,Left
193061,80,80,15500000,65000,Argentina,LM,27,Right
192789,80,80,12000000,35000,Spain,RB,27,Right
191687,80,80,11500000,63000,Brazil,CB,29,Right
190815,80,80,12000000,22000,Netherlands,LB,28,Left
190778,80,83,12500000,16000,Netherlands,GK,27,Right
190544,80,81,17500000,52000,Serbia,CAM,26,Right
190286,80,80,15500000,30000,Spain,RCM,27,Left
190264,80,80,15000000,59000,Spain,RW,28,Left
189805,80,80,16000000,23000,Netherlands,ST,27,Right
189690,80,80,9000000,48000,Spain,GK,31,Right
189575,80,83,18500000,31000,Spain,CAM,25,Right
189354,80,80,14000000,33000,Spain,RW,30,Right
189251,80,80,12000000,37000,Germany,CDM,28,Right
188943,80,81,11500000,61000,Germany,GK,27,Right
188942,80,82,14500000,86000,Kenya,CDM,27,Right
188829,80,80,12000000,50000,Cameroon,CB,28,Right
188388,80,80,15000000,31000,Algeria,CAM,28,Left
188005,80,81,13500000,51000,Spain,CDM,28,Right
186569,80,80,10000000,61000,Germany,GK,29,Right
186547,80,80,12500000,85000,Argentina,RCB,27,Right
186537,80,80,13500000,41000,Uruguay,ST,31,Right
185122,80,80,10500000,45000,Hungary,GK,28,Right
184120,80,80,7000000,39000,Spain,CM,34,Left
183427,80,80,11500000,120000,England,LB,28,Left
180819,80,80,13500000,110000,England,CM,30,Right
180334,80,80,10000000,64000,Brazil,RCB,31,Right
180216,80,80,11000000,97000,Republic of Ireland,RWB,29,Right
180175,80,80,15500000,35000,Brazil,ST,28,Right
178424,80,80,9500000,27000,Portugal,LB,31,Left
