Driver Age,Driver Experience,Previous Accidents,Annual Mileage (x1000 km),Car Manufacturing Year,Car Age,Insurance Premium ($)
23,3,1,19,1990,35,500.45
39,0,3,23,2015,10,498.85
28,7,1,19,2009,16,496.35
65,28,5,14,2012,13,488.1
33,15,0,13,1999,26,492.15
50,2,2,11,2000,25,495.45
26,8,1,12,1994,31,497.6
23,5,5,18,1990,35,505.8
33,9,3,11,2006,19,497.65
46,18,5,18,2011,14,495.2
20,2,3,23,2023,2,501.25
37,19,1,17,2018,7,489.95
53,22,3,25,1993,32,491.75
36,18,4,18,1994,31,497.4
43,25,4,22,2000,25,493.5
20,2,4,16,2010,15,503.7
36,18,0,22,2024,1,488.6
37,7,1,24,2001,24,495.6
49,0,5,25,2015,10,499.95
24,2,5,25,2008,17,505.05
58,23,0,19,1996,29,485.35
50,22,3,13,1996,29,491.45
57,7,0,20,2015,10,488.5
56,36,3,14,1994,31,486.3
35,2,3,23,2010,15,499.55
57,32,2,16,2003,22,485.0
18,0,5,18,1993,32,508.0
28,7,4,15,2012,13,500.35
45,27,3,13,2009,16,489.65
42,24,2,16,2004,21,490.3
40,22,5,14,2018,7,494.3
48,23,4,19,1997,28,493.25
47,13,3,23,2008,17,494.05
59,31,3,13,2017,8,484.85
52,15,0,14,2016,9,486.7
24,3,0,17,1993,32,498.35
33,15,5,17,2004,21,499.35
43,20,4,22,2024,1,492.6
65,13,3,22,1990,35,492.2
19,1,5,14,1992,33,507.4
18,0,5,16,2013,12,505.9
65,6,1,22,2016,9,488.7
29,9,0,23,2025,0,492.65
22,4,4,13,2023,2,501.25
54,32,3,16,2018,7,485.6
49,22,5,22,2013,12,493.4
26,8,3,12,2013,12,498.7
58,18,1,18,1993,32,488.6
52,18,4,12,1992,33,494.1
36,18,5,21,2023,2,496.15
65,28,3,17,2012,13,485.25
33,15,0,19,2012,13,491.15
20,1,1,11,1994,31,500.85
37,0,4,18,2020,5,500.0
41,4,1,17,1995,30,495.95
50,19,0,16,1999,26,487.7
41,10,4,16,1996,29,498.5
28,1,1,16,2010,15,497.9
25,2,2,19,2009,16,499.95
53,22,0,12,1992,33,486.7
55,11,0,11,2011,14,487.65
57,19,0,23,1993,32,487.25
37,4,2,22,2017,8,496.3
52,34,2,16,2001,24,485.6
65,37,3,20,2025,0,481.4
42,24,5,21,1994,31,496.05
52,8,1,18,2002,23,491.9
42,24,3,13,2012,13,490.85
46,28,1,22,2019,6,485.6
35,17,5,20,2014,11,497.5
63,23,2,11,2016,9,484.95
35,16,5,19,2003,22,498.85
19,1,2,23,2025,0,500.05
52,29,5,23,2005,20,491.55
33,15,3,11,2011,14,495.35
58,31,4,13,2010,15,487.25
53,16,3,18,2010,15,491.5
50,16,1,24,1997,28,490.7
21,3,3,13,2005,20,502.05
50,8,0,23,2020,5,489.25
31,13,1,14,1999,26,494.7
38,1,5,18,2021,4,500.9
65,24,1,11,2023,2,482.05
37,19,4,23,1998,27,496.75
25,7,2,23,2006,19,498.95
24,6,5,16,2000,25,504.2
20,2,1,11,2021,4,497.85
34,16,5,24,1999,26,499.7
50,28,5,11,2011,14,491.05
65,33,5,24,2006,19,487.7
29,11,2,18,1993,32,498.0
39,21,3,21,2014,11,492.55
39,10,5,14,2010,15,498.9
63,5,0,22,1990,35,490.5
47,17,4,11,2014,11,493.15
55,20,2,20,2025,0,487.0
55,35,1,17,2006,19,482.75
62,40,2,15,2013,12,480.55
25,7,1,15,1991,34,498.55
44,26,2,11,2004,21,489.05
44,16,1,24,2021,4,489.5
51,33,5,20,1995,30,491.4
38,20,3,21,1990,35,495.45
47,29,1,16,2012,13,485.5
50,11,1,24,2006,19,491.3
45,22,0,19,2023,2,485.55
64,21,1,19,2018,7,484.05
50,20,0,18,1998,27,487.6
22,4,4,15,2002,23,503.45
65,30,5,11,1995,30,489.05
36,5,0,19,1995,30,495.25
21,3,3,11,2009,16,501.55
52,34,5,18,1992,33,491.1
34,16,0,15,2006,19,491.05
61,11,5,13,2001,24,495.05
45,6,5,21,1990,35,501.25
47,9,5,17,2006,19,498.15
46,16,4,17,1992,33,496.15
63,25,3,19,2015,10,486.35
23,5,2,17,2004,21,499.85
52,27,2,23,2025,0,485.65
58,1,0,21,2021,4,489.55
54,0,5,24,2021,4,498.3
41,23,0,13,1993,32,488.75
46,25,4,21,2007,18,492.15
63,28,4,23,2008,17,487.85
48,20,1,25,2024,1,487.25
52,10,4,24,2003,22,496.0
50,32,1,23,2022,3,483.35
38,10,3,11,2003,22,496.65
49,31,0,18,2023,2,482.0
40,22,3,22,1993,32,494.2
50,32,4,13,2013,12,488.25
20,2,3,22,2018,7,501.7
35,17,3,18,2008,17,495.0
42,23,3,18,1995,30,493.1
59,21,4,23,2022,3,489.35
48,4,5,15,2008,17,499.15
20,2,3,23,1990,35,504.55
57,35,1,22,1994,31,483.8
63,19,4,23,2016,9,489.75
41,18,3,11,2005,20,493.45
49,31,5,23,1995,30,492.55
64,16,4,20,2002,23,491.7
39,21,2,17,2024,1,489.85
40,8,5,22,2008,17,499.9
19,1,1,20,2001,24,500.8
44,1,3,15,2005,20,498.15
59,8,2,18,1999,26,492.3
19,1,2,19,2014,11,500.95
43,25,4,21,2009,16,492.55
34,16,2,24,2020,5,493.1
57,0,1,17,1993,32,494.15
50,24,1,24,2012,13,486.8
26,8,0,23,1991,34,496.95
60,24,1,25,2011,14,484.95
65,38,5,17,1997,28,486.75
56,34,2,11,1996,29,485.05
46,2,1,25,2003,22,495.15
59,36,4,14,1992,33,487.4
43,25,0,12,2005,20,486.5
52,34,2,12,2008,17,484.7
42,24,0,12,2007,18,486.8
41,11,2,14,2005,20,494.2
30,12,4,24,1997,28,500.4
24,6,0,11,2022,3,494.25
53,16,3,25,2001,24,492.75
62,9,5,14,2000,25,495.6
37,11,5,12,1994,31,500.5
18,0,2,15,2016,9,501.05
25,7,3,13,2001,24,500.45
63,18,0,25,2006,19,485.15
33,7,3,22,1995,30,499.9
31,13,3,18,2022,3,495.6
29,11,0,14,1994,31,494.7
40,16,4,11,2017,8,494.55
32,14,3,11,2003,22,496.65
45,27,3,22,1994,31,491.6
51,15,4,20,2022,3,492.6
19,1,3,13,2008,17,502.75
49,7,3,25,2011,14,495.25
40,22,3,19,1994,31,493.95
39,17,5,17,1991,34,498.85
42,24,1,12,2019,6,487.1
39,11,4,25,1993,32,499.35
39,14,3,23,2022,3,493.95
59,25,5,19,2002,23,491.45
23,5,4,20,2009,16,502.5
32,14,2,12,1996,29,495.9
60,31,2,13,2004,21,484.45
54,9,3,21,2012,13,493.35
50,15,5,23,2003,22,496.35
25,6,5,20,2012,13,503.0
61,16,4,24,2008,17,491.9
61,22,4,12,2018,7,488.5
22,4,5,13,2009,16,504.15
56,20,4,16,2018,7,490.3
21,3,5,19,2013,12,504.55
23,5,1,19,2007,18,498.15
62,13,5,17,1999,26,494.65
49,14,2,22,1997,28,492.9
47,6,4,13,2015,10,496.45
64,8,5,14,2018,7,493.7
52,7,5,16,1999,26,498.4
57,22,4,21,2006,19,490.95
33,15,1,15,1991,34,494.55
30,12,1,12,1995,30,495.5
59,30,4,23,1994,31,489.45
47,29,0,16,2017,8,483.5
36,18,4,13,1994,31,497.15
34,16,4,24,2007,18,497.4
36,17,1,18,2015,10,491.1
45,27,1,12,2009,16,486.6
43,16,4,11,2016,9,494.05
54,13,4,19,2001,24,494.65
43,25,4,24,1996,29,494.0
40,22,1,22,1992,33,491.3
26,8,4,13,1999,26,501.65
29,11,4,21,2023,2,498.15
18,0,3,11,2014,11,502.55
18,0,0,17,2024,1,497.35
64,39,2,23,2005,20,481.65
51,25,0,25,1991,34,486.95
49,22,3,20,2013,12,490.3
65,38,2,15,1999,26,481.95
42,14,4,15,2011,14,495.55
57,3,3,24,2015,10,494.4
62,28,4,11,2016,9,486.65
18,0,1,25,2018,7,499.85
33,15,5,25,2009,16,499.25
56,12,3,19,2016,9,491.55
22,4,1,17,2009,16,498.35
39,21,3,18,2008,17,493.0
46,15,3,19,2009,16,493.35
20,1,1,16,2024,1,498.1
29,11,2,22,1991,34,498.4
43,25,0,15,2019,6,485.25
33,15,4,16,2023,2,495.9
54,12,3,21,2011,14,492.55
39,12,4,12,1992,33,498.5
46,17,5,14,1995,30,496.9
31,13,1,13,2004,21,494.15
45,27,4,23,2016,9,490.95
22,4,1,17,1999,26,499.35
64,38,4,19,1998,27,485.45
47,28,0,15,2022,3,483.25
63,28,0,16,2021,4,480.2
22,4,0,20,1995,30,498.4
29,9,0,24,2025,0,492.7
33,15,0,22,1991,34,493.4
43,24,0,22,2018,7,486.0
43,25,1,12,1993,32,489.2
65,19,3,13,1990,35,489.95
38,4,4,13,2008,17,499.55
56,0,0,22,2015,10,490.9
53,29,1,22,2014,11,484.4
50,2,1,25,1999,26,494.75
47,13,1,19,2004,21,491.25
54,29,3,25,2011,14,487.65
40,3,4,17,2010,15,499.45
27,9,3,18,2011,14,498.7
22,4,2,21,2025,0,498.45
53,24,1,20,2023,2,484.9
51,0,2,21,2019,6,494.45
48,14,5,19,2014,11,495.75
27,8,0,16,2017,8,493.8
36,14,0,14,1990,35,492.8
49,23,3,22,1993,32,492.1
18,0,4,11,1996,29,505.85
22,4,2,18,1998,27,501.0
62,36,4,17,2025,0,483.65
21,3,3,12,2008,17,501.7
33,5,0,18,1990,35,496.3
41,23,4,22,1999,26,494.6
33,15,4,15,2025,0,495.65
19,1,0,17,1998,27,499.45
45,12,2,14,2021,4,491.5
49,31,0,15,2021,4,482.05
44,24,4,18,1995,30,493.9
37,6,2,11,2006,19,496.25
41,3,2,11,1999,26,497.05
29,7,0,25,2016,9,494.25
52,19,4,14,2024,1,490.7
50,28,3,13,2010,15,488.25
50,9,4,23,2014,11,495.55
60,33,1,20,2017,8,481.4
54,25,5,22,2004,21,492.4
29,11,3,12,1993,32,499.2
20,2,2,22,2018,7,500.2
18,0,3,13,1998,27,504.25
50,4,2,21,2016,9,493.75
57,4,2,25,2015,10,492.65
27,9,3,25,2008,17,499.35
60,8,2,21,2017,8,490.45
61,34,2,24,2006,19,483.7
46,19,1,21,2009,16,489.25
30,12,4,11,2012,13,498.25
29,11,4,11,2021,4,497.85
48,16,5,16,2022,3,494.2
63,23,5,15,1994,31,491.85
19,1,1,18,2023,2,498.5
52,31,5,12,2000,25,490.9
40,22,3,14,1992,33,493.9
34,16,0,18,2022,3,489.6
43,12,0,22,2000,25,491.4
25,7,0,16,2005,20,495.7
46,8,1,11,2007,18,492.25
43,3,1,25,2019,6,493.85
27,9,2,14,1999,26,498.2
43,25,0,11,2007,18,486.25
51,33,3,23,2008,17,487.25
58,10,5,12,2025,0,493.5
24,6,3,15,2002,23,500.95
21,2,5,24,1992,33,507.2
62,27,0,18,1999,26,483.0
28,10,0,18,1990,35,495.8
46,8,0,21,2016,9,490.35
53,2,1,13,1997,28,493.75
42,24,5,21,2006,19,494.85
38,20,1,23,1998,27,491.75
53,11,1,14,1995,30,491.3
27,8,4,20,2014,11,500.3
54,14,3,21,2017,8,491.35
26,8,3,24,2022,3,498.4
41,23,2,16,1998,27,491.4
52,4,1,21,2007,18,492.75
52,10,5,21,2010,15,496.65
65,33,4,20,1991,34,487.5
53,23,4,13,2025,0,489.15
35,14,3,12,2004,21,496.0
56,37,1,16,2017,8,480.8
49,7,2,21,2007,18,493.95
41,4,1,23,2023,2,493.45
40,22,0,25,2011,14,488.05
49,17,1,15,2000,25,489.85
54,5,0,24,2002,23,491.2
29,11,0,20,1993,32,495.1
30,12,2,15,2011,14,495.55
40,22,5,20,1996,29,496.8
42,4,3,23,2013,12,497.25
52,12,1,15,1993,32,491.45
58,16,0,20,2017,8,485.4
47,29,1,22,2004,21,486.6
34,16,5,15,1990,35,500.15
37,19,3,13,1992,33,495.35
65,2,5,17,2003,22,496.95
42,24,3,16,1990,35,493.2
39,21,4,14,2010,15,494.1
30,12,3,12,2018,7,496.2
36,18,2,22,1994,31,494.6
53,12,5,19,1999,26,496.85
29,11,0,11,2017,8,492.25
58,5,4,23,2010,15,495.55
36,18,2,23,1996,29,494.45
29,11,1,21,1992,33,496.75
26,8,5,25,2009,16,502.75
24,6,0,24,2008,17,496.3
45,27,3,14,2024,1,488.2
31,13,0,11,1993,32,493.65
48,30,1,23,1994,31,487.15
36,12,4,16,1990,35,499.5
64,24,4,14,1993,32,489.9
33,15,5,15,2001,24,499.55
22,4,4,15,2016,9,502.05
52,34,5,19,2012,13,489.15
29,6,5,11,2014,11,501.55
42,4,5,23,2010,15,500.55
38,20,3,12,2013,12,492.7
53,22,2,23,2014,11,488.05
40,9,5,16,2021,4,498.0
33,15,5,15,2021,4,497.55
56,29,2,21,1994,31,487.25
62,38,0,17,2025,0,477.05
59,30,5,13,2005,20,489.35
56,17,3,13,2022,3,489.15
31,13,4,20,2010,15,498.4
48,1,4,12,1998,27,499.4
22,4,1,23,1995,30,500.05
52,12,1,13,2024,1,488.25
40,22,4,20,2011,14,493.8
46,11,4,11,1994,31,497.15
60,38,3,15,2012,13,483.15
28,1,2,24,2006,19,500.2
35,17,1,25,2001,24,493.05
64,12,2,22,2012,13,489.0
29,11,3,15,2005,20,498.15
26,8,4,22,1992,33,502.8
27,9,5,21,2019,6,501.05
61,39,2,17,2011,14,481.35
34,16,4,14,1998,27,497.8
55,33,4,13,2018,7,486.45
24,6,0,11,2012,13,495.25
63,34,2,22,2002,23,483.6
30,5,5,25,2021,4,501.65
57,18,2,18,2012,13,488.4
59,29,4,23,2006,19,488.55
26,6,5,13,2010,15,502.65
44,9,3,23,1991,34,497.55
19,1,0,25,1995,30,500.15
22,4,4,12,2007,18,502.8
46,28,1,21,2019,6,485.55
54,27,1,14,2011,14,484.7
55,14,0,13,2022,3,485.75
36,18,3,23,2019,6,493.65
25,7,4,11,2006,19,501.35
65,28,2,13,2021,4,482.65
62,21,0,22,2003,22,484.6
18,0,3,12,1999,26,504.1
39,19,2,18,2025,0,490.4
34,16,1,16,2023,2,490.9
24,6,1,19,1998,27,498.55
42,3,2,18,2017,8,495.4
62,26,0,20,2000,25,483.3
21,3,1,13,2003,22,499.25
53,11,4,15,2008,17,494.55
23,5,5,17,2004,21,504.35
48,16,2,15,2017,8,490.15
36,9,2,18,2013,12,495.2
61,0,1,22,1997,28,493.2
56,21,0,15,1998,27,485.95
44,25,4,11,2022,3,490.55
27,9,0,15,2022,3,492.95
43,13,3,14,2008,17,494.4
36,18,3,16,1992,33,496.0
56,11,5,13,1999,26,496.25
20,2,1,25,1990,35,501.65
62,34,1,21,2018,7,480.65
30,11,1,15,2023,2,493.15
45,6,5,12,2002,23,499.6
37,19,3,21,1990,35,495.95
45,10,0,16,2023,2,489.0
25,7,5,23,2018,7,502.25
58,5,5,25,2002,23,497.95
56,14,0,22,2018,7,486.4
18,0,1,16,2013,12,499.9
20,2,4,15,2015,10,503.15
30,12,0,16,2006,19,493.1
45,25,3,21,1996,29,491.95
42,24,2,17,2002,23,490.55
50,32,2,22,1994,31,487.6
55,28,5,15,2015,10,489.85
23,3,2,11,1992,33,501.35
61,16,4,18,1996,29,492.8
62,34,1,14,1990,35,483.1
49,12,3,19,2006,19,493.95
62,40,4,24,2014,11,483.9
64,38,3,20,1992,33,484.6
38,14,3,22,2004,21,495.9
33,15,1,16,2018,7,491.9
38,20,5,11,2021,4,494.85
28,10,2,13,2015,10,496.05
54,31,1,13,2005,20,484.05
53,1,4,20,2014,11,497.2
52,13,5,22,2017,8,495.1
36,18,4,22,1998,27,497.2
37,19,5,14,1990,35,498.6
35,10,4,16,2018,7,497.5
64,26,1,25,2011,14,483.55
58,2,5,17,2005,20,498.15
31,13,5,20,1996,29,501.3
32,14,3,14,2003,22,496.8
48,28,3,16,2018,7,488.0
18,0,0,21,2008,17,499.15
20,2,4,11,2008,17,503.65
33,15,3,24,1991,34,498.0
40,19,0,18,2004,21,489.3
28,5,3,17,1992,33,501.55
29,11,4,25,2000,25,500.65
27,4,5,21,2019,6,502.55
49,2,2,21,2007,18,495.45
33,0,4,19,1991,34,503.75
25,7,1,13,2021,4,495.45
55,14,3,12,1997,28,492.7
29,11,3,11,2011,14,497.35
41,23,5,13,1995,30,496.05
45,24,1,15,2001,24,488.45
25,7,5,24,2025,0,501.6
45,11,1,21,2004,21,492.35
53,17,2,12,2017,8,488.7
43,14,3,22,2007,18,494.6
25,7,3,13,1991,34,501.45
45,26,2,25,2002,23,489.75
45,7,0,25,2004,21,492.25
54,24,5,25,2009,16,492.35
58,16,2,14,2018,7,488.0
53,28,5,17,2018,7,490.05
44,7,4,23,1992,33,499.55
34,14,3,13,2008,17,495.85
26,8,5,25,1992,33,504.45
50,6,1,19,2003,22,492.85
37,2,5,18,1993,32,503.6
30,12,4,14,2000,25,499.6
45,23,3,23,2020,5,490.25
65,2,2,11,2021,4,490.35
46,19,4,11,2016,9,492.55
30,12,3,11,2019,6,496.05
63,24,5,11,1991,34,491.65
52,29,0,18,1998,27,484.5
23,5,0,13,2017,8,495.35
35,6,1,25,2020,5,494.45
22,4,3,16,2023,2,499.9
64,19,0,13,2004,21,484.25
42,24,2,21,2014,11,489.55
19,1,3,15,2025,0,501.15
27,9,2,23,1997,28,498.85
47,21,2,25,1998,27,491.25
62,1,0,24,2021,4,488.9
22,4,3,23,2006,19,501.95
50,7,5,25,2024,1,496.75
18,0,4,17,2008,17,504.95
35,12,0,12,2018,7,490.7
49,16,0,16,1996,29,489.1
64,7,5,23,2017,8,494.55
28,10,3,16,1998,27,499.4
38,17,3,21,2017,8,493.65
43,25,2,13,1995,30,490.55
42,17,5,16,2018,7,495.5
39,21,5,20,2006,19,496.3
44,26,3,20,2005,20,490.9
30,12,2,24,2012,13,495.9
50,10,0,15,2020,5,488.25
51,24,1,22,1992,33,488.5
58,32,4,12,2010,15,486.9
52,34,0,19,2015,10,481.35
18,0,3,18,2025,0,501.8
38,7,4,13,2011,14,498.35
65,10,1,18,2001,24,488.8
23,5,1,24,2002,23,498.9
45,23,2,19,2000,25,490.55
34,16,4,24,2005,20,497.6
22,4,2,25,1997,28,501.45
48,11,0,13,1991,34,491.15
22,4,5,13,2019,6,503.15
55,14,5,12,2019,6,493.5
20,2,5,18,2001,24,506.2
40,21,4,20,1999,26,495.3
54,27,5,11,2000,25,491.65
54,19,0,18,2004,21,486.5
27,9,2,17,2005,20,497.75
27,9,4,24,2006,19,501.0
36,18,2,17,2015,10,492.25
34,16,4,13,1991,34,498.45
38,20,2,11,2001,24,492.35
31,1,1,14,2015,10,496.7
26,8,2,19,2012,13,497.65
63,32,5,15,2007,18,487.85
18,0,1,11,2021,4,498.85
62,12,2,25,1992,33,491.55
30,12,4,15,1992,33,500.45
21,3,4,23,2019,6,502.65
18,0,4,18,1990,35,506.8
57,25,3,18,2019,6,487.1
49,21,0,15,2021,4,485.05
51,33,4,22,2017,8,487.8
45,1,1,19,2010,15,494.65
48,30,4,25,2002,23,490.95
25,7,3,11,2016,9,498.85
56,25,5,14,2025,0,489.5
43,14,1,13,1996,29,492.25
51,33,3,12,2011,14,486.4
20,2,5,25,1999,26,506.75
29,10,1,18,2004,21,495.7
18,0,2,17,2004,21,502.35
61,5,0,19,1993,32,490.45
22,4,0,12,2021,4,495.4
47,5,3,24,2012,13,496.1
47,8,5,24,1995,30,499.9
34,16,0,14,2013,12,490.3
65,30,5,24,2009,16,488.3
64,31,5,25,2009,16,488.25
40,22,3,16,2001,24,493.1
32,11,3,21,2022,3,496.15
54,7,3,13,2017,8,493.05
38,7,0,18,1997,28,494.0
31,13,3,13,1990,35,498.55
19,1,0,24,2011,14,498.5
28,6,3,22,1995,30,501.2
56,10,4,23,2010,15,494.45
55,19,5,23,2021,4,492.35
51,15,3,12,2024,1,490.5
55,3,1,23,2004,21,492.85
51,5,5,23,1994,31,500.05
35,17,5,13,1995,30,499.05
47,25,3,21,2014,11,489.75
32,2,2,16,2018,7,497.5
44,26,3,12,1996,29,491.4
51,13,5,18,2002,23,496.6
